,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18
point14,5.00230126108074,12.283071099587016,11.115594455595714,9.747064594703545,8.331520550892353,7.939316098521086,4.849719863143343,3.842325617645347,4.903114691609106,10.818088105016805,9.139134632414708,8.078345558450948,10.995592852670098,4.849719863143343,3.842325617645347,4.903114691609106,10.818088105016805,10.20964333815749
point15,4.262019519811335,9.557776246302923,9.39669779420862,6.182552021505752,5.9297375310169524,8.514089017722576,8.735985612433579,7.536684671378951,7.339028586574524,7.825767469737757,5.444775578681103,5.642431663485529,9.33091275741088,8.735985612433579,7.536684671378951,7.339028586574524,7.825767469737757,9.27463711416803
point16,6.110688803113114,7.416736567258713,7.608634155333059,3.8472083170074325,3.30312343493261,6.789908334893898,10.64001453691536,9.957099238903721,10.00296855134945,5.474947629148798,3.0243610111563335,2.9784916987106036,8.53887070639316,10.64001453691536,9.957099238903721,10.00296855134945,5.474947629148798,6.92070496527911
point17,7.603251022399768,5.301987621999465,5.38369139348237,1.9561764720037418,2.5868884006312918,5.1430094323950115,11.491123099606853,11.917016751894995,10.729381744247336,3.1529945018721857,1.064443498165059,2.252078505812718,4.425857465068945,11.491123099606853,11.917016751894995,10.729381744247336,3.1529945018721857,4.184784349157947
point18,7.639954198482329,6.099005404983374,5.945968864819168,2.8013206123385714,1.9980901778766487,5.134669194278149,10.687894082405977,11.041086076258512,11.326547166881305,4.028104494404984,1.9403741738015423,1.6549130831787504,5.962132075715092,10.687894082405977,11.041086076258512,11.326547166881305,4.028104494404984,4.410984474016515
point19,5.341784676343725,6.254444148258749,6.864943923117716,3.9654318592123383,3.085794939570696,7.015774596522972,9.619186173670874,9.83456910202239,10.223385423832578,4.198773205155402,3.1468911480376636,2.758074826227477,6.643778703809086,9.619186173670874,9.83456910202239,10.223385423832578,4.198773205155402,3.992211584044228
point20,9.920155078921804,5.595943654586233,4.717403283915654,2.892702752709277,2.2433903285031214,3.3245382626080926,10.692616493436487,10.946375107873513,11.07776114399605,3.475752496704997,2.035085142186541,1.903699106064004,5.174179049826374,10.692616493436487,10.946375107873513,11.07776114399605,3.475752496704997,4.188442665717442
point21,5.188764938673531,4.5793030462329245,4.581285640961772,1.9167989704819681,2.8099186033646038,5.42302879929845,11.130629403578299,11.957828679549344,10.503182139479035,2.3595009221744885,1.023631570510709,2.4782781105810177,3.2821833547720938,11.130629403578299,11.957828679549344,10.503182139479035,2.3595009221744885,4.871349435937543
point22,4.8462350852119345,5.844192730903301,6.539194347102042,3.5265940809487875,2.815067582525244,6.841617293025644,9.725309941320134,10.2893926679255,10.497959990026525,3.7483251443425054,2.6920675821345545,2.4835002600335283,5.642649720133171,9.725309941320134,10.2893926679255,10.497959990026525,3.7483251443425054,4.032808788143709
point23,4.242354768725691,5.991645911892487,6.992741385938526,3.3476782721805716,3.3119120482492166,7.875187959286488,10.987695300686328,10.474825942294888,9.994055046208377,3.9102258633343556,2.506634307765164,2.987405203851677,6.84716975658077,10.987695300686328,10.474825942294888,9.994055046208377,3.9102258633343556,5.98907705597762
point24,3.4327065599479862,9.873297245719193,9.340067045733809,9.079427878287051,8.013233392405903,8.434267295193552,5.878881419394374,4.534282707779974,5.2259249144852875,8.172203377866907,8.44717754228008,7.755535335574766,9.858458959087201,5.878881419394374,4.534282707779973,5.2259249144852875,8.172203377866907,9.498800993605988
point25,8.356461267325322,3.760254310248408,3.601813472123964,3.887316280350419,3.1135042541980393,3.9856903363637635,9.275217139947797,9.915530240489428,10.195282342096153,1.4602013726111454,3.065930009570624,2.7861779079639013,3.8315403081461827,9.275217139947797,9.915530240489428,10.195282342096153,1.4602013726111454,0.0
